Companies,Salaries,Ratings,Job_descriptions,Cities,States
Opendoor ,$152k-$209k(Glassdoor Est.),4.2,"Slack is looking for experienced analysts to join our Analytics team and help drive the understanding, growth, and success of Slack. We have several roles open across different levels of seniority. You should have deep technical skills and be comfortable working in an evolving data infrastructure to help us make data-informed decisions. You will be scrappy, independent, and excited about having a big impact in a growing team.

You will partner closely with Sales, Marketing, and Product to provide visibility into our data, craft narratives, find insights, and provide recommendations. Analytics works closely with a group of cross-functional teams, such as Data Engineering & IT, to transform massive amounts of data into data products and insights that allow the rest of the company to make better decisions, faster.

Responsibilities:
Use data to inform and influence the direction of team roadmaps and inform business decisions
Work with partner teams to define goals and identify metrics for improving existing features and new releases
Deepen our understanding of patterns/trends in user behavior, design experiments, and uncover new opportunities
Build dashboards and reports to drive awareness and understanding of metrics and experiment results
Work closely with Data Engineering and IT to author and develop core data sets that empower operational and exploratory analyses
Requirements:
3-8+ years of professional industry experience doing quantitative analysis
A proven track record of using analysis to impact key business or product decisions
The ability to clearly and effectively communicate the results of complex analyses
Experience writing production datasets in SQL/Hive OR building internal/production data tools for ETL, experimentation, or exploration in a scripting language (Python, R, etc.)
A solid grasp of basic statistical applications and methods (experimentation, probabilities, regression)
Experience in software engineering, data engineering, consulting, or academic research a plus
To apply to this job, click Apply Now", San Francisco, CA
SoFi ,$126k-$174k(Glassdoor Est.),3.5,"Slack is looking for experienced analysts to join our Analytics team and help drive the understanding, growth, and success of Slack. We have several roles open across different levels of seniority. You should have deep technical skills and be comfortable working in an evolving data infrastructure to help us make data-informed decisions. You will be scrappy, independent, and excited about having a big impact in a growing team.

You will partner closely with Sales, Marketing, and Product to provide visibility into our data, craft narratives, find insights, and provide recommendations. Analytics works closely with a group of cross-functional teams, such as Data Engineering & IT, to transform massive amounts of data into data products and insights that allow the rest of the company to make better decisions, faster.

Responsibilities:
Use data to inform and influence the direction of team roadmaps and inform business decisions
Work with partner teams to define goals and identify metrics for improving existing features and new releases
Deepen our understanding of patterns/trends in user behavior, design experiments, and uncover new opportunities
Build dashboards and reports to drive awareness and understanding of metrics and experiment results
Work closely with Data Engineering and IT to author and develop core data sets that empower operational and exploratory analyses
Requirements:
3-8+ years of professional industry experience doing quantitative analysis
A proven track record of using analysis to impact key business or product decisions
The ability to clearly and effectively communicate the results of complex analyses
Experience writing production datasets in SQL/Hive OR building internal/production data tools for ETL, experimentation, or exploration in a scripting language (Python, R, etc.)
A solid grasp of basic statistical applications and methods (experimentation, probabilities, regression)
Experience in software engineering, data engineering, consulting, or academic research a plus
To apply to this job, click Apply Now", San Francisco, CA
Esurance ,$105k-$147k(Glassdoor Est.),3.2,"Slack is looking for experienced analysts to join our Analytics team and help drive the understanding, growth, and success of Slack. We have several roles open across different levels of seniority. You should have deep technical skills and be comfortable working in an evolving data infrastructure to help us make data-informed decisions. You will be scrappy, independent, and excited about having a big impact in a growing team.

You will partner closely with Sales, Marketing, and Product to provide visibility into our data, craft narratives, find insights, and provide recommendations. Analytics works closely with a group of cross-functional teams, such as Data Engineering & IT, to transform massive amounts of data into data products and insights that allow the rest of the company to make better decisions, faster.

Responsibilities:
Use data to inform and influence the direction of team roadmaps and inform business decisions
Work with partner teams to define goals and identify metrics for improving existing features and new releases
Deepen our understanding of patterns/trends in user behavior, design experiments, and uncover new opportunities
Build dashboards and reports to drive awareness and understanding of metrics and experiment results
Work closely with Data Engineering and IT to author and develop core data sets that empower operational and exploratory analyses
Requirements:
3-8+ years of professional industry experience doing quantitative analysis
A proven track record of using analysis to impact key business or product decisions
The ability to clearly and effectively communicate the results of complex analyses
Experience writing production datasets in SQL/Hive OR building internal/production data tools for ETL, experimentation, or exploration in a scripting language (Python, R, etc.)
A solid grasp of basic statistical applications and methods (experimentation, probabilities, regression)
Experience in software engineering, data engineering, consulting, or academic research a plus
To apply to this job, click Apply Now", San Francisco, CA
TIBCO Software ,$132k-$183k(Glassdoor Est.),3.6,"Slack is looking for experienced analysts to join our Analytics team and help drive the understanding, growth, and success of Slack. We have several roles open across different levels of seniority. You should have deep technical skills and be comfortable working in an evolving data infrastructure to help us make data-informed decisions. You will be scrappy, independent, and excited about having a big impact in a growing team.

You will partner closely with Sales, Marketing, and Product to provide visibility into our data, craft narratives, find insights, and provide recommendations. Analytics works closely with a group of cross-functional teams, such as Data Engineering & IT, to transform massive amounts of data into data products and insights that allow the rest of the company to make better decisions, faster.

Responsibilities:
Use data to inform and influence the direction of team roadmaps and inform business decisions
Work with partner teams to define goals and identify metrics for improving existing features and new releases
Deepen our understanding of patterns/trends in user behavior, design experiments, and uncover new opportunities
Build dashboards and reports to drive awareness and understanding of metrics and experiment results
Work closely with Data Engineering and IT to author and develop core data sets that empower operational and exploratory analyses
Requirements:
3-8+ years of professional industry experience doing quantitative analysis
A proven track record of using analysis to impact key business or product decisions
The ability to clearly and effectively communicate the results of complex analyses
Experience writing production datasets in SQL/Hive OR building internal/production data tools for ETL, experimentation, or exploration in a scripting language (Python, R, etc.)
A solid grasp of basic statistical applications and methods (experimentation, probabilities, regression)
Experience in software engineering, data engineering, consulting, or academic research a plus
To apply to this job, click Apply Now", San Francisco, CA
Niantic ,$129k-$181k(Glassdoor Est.),4.7,"Slack is looking for experienced analysts to join our Analytics team and help drive the understanding, growth, and success of Slack. We have several roles open across different levels of seniority. You should have deep technical skills and be comfortable working in an evolving data infrastructure to help us make data-informed decisions. You will be scrappy, independent, and excited about having a big impact in a growing team.

You will partner closely with Sales, Marketing, and Product to provide visibility into our data, craft narratives, find insights, and provide recommendations. Analytics works closely with a group of cross-functional teams, such as Data Engineering & IT, to transform massive amounts of data into data products and insights that allow the rest of the company to make better decisions, faster.

Responsibilities:
Use data to inform and influence the direction of team roadmaps and inform business decisions
Work with partner teams to define goals and identify metrics for improving existing features and new releases
Deepen our understanding of patterns/trends in user behavior, design experiments, and uncover new opportunities
Build dashboards and reports to drive awareness and understanding of metrics and experiment results
Work closely with Data Engineering and IT to author and develop core data sets that empower operational and exploratory analyses
Requirements:
3-8+ years of professional industry experience doing quantitative analysis
A proven track record of using analysis to impact key business or product decisions
The ability to clearly and effectively communicate the results of complex analyses
Experience writing production datasets in SQL/Hive OR building internal/production data tools for ETL, experimentation, or exploration in a scripting language (Python, R, etc.)
A solid grasp of basic statistical applications and methods (experimentation, probabilities, regression)
Experience in software engineering, data engineering, consulting, or academic research a plus
To apply to this job, click Apply Now", San Francisco, CA
Metromile ,$142k-$196k(Glassdoor Est.),4.4,"Slack is looking for experienced analysts to join our Analytics team and help drive the understanding, growth, and success of Slack. We have several roles open across different levels of seniority. You should have deep technical skills and be comfortable working in an evolving data infrastructure to help us make data-informed decisions. You will be scrappy, independent, and excited about having a big impact in a growing team.

You will partner closely with Sales, Marketing, and Product to provide visibility into our data, craft narratives, find insights, and provide recommendations. Analytics works closely with a group of cross-functional teams, such as Data Engineering & IT, to transform massive amounts of data into data products and insights that allow the rest of the company to make better decisions, faster.

Responsibilities:
Use data to inform and influence the direction of team roadmaps and inform business decisions
Work with partner teams to define goals and identify metrics for improving existing features and new releases
Deepen our understanding of patterns/trends in user behavior, design experiments, and uncover new opportunities
Build dashboards and reports to drive awareness and understanding of metrics and experiment results
Work closely with Data Engineering and IT to author and develop core data sets that empower operational and exploratory analyses
Requirements:
3-8+ years of professional industry experience doing quantitative analysis
A proven track record of using analysis to impact key business or product decisions
The ability to clearly and effectively communicate the results of complex analyses
Experience writing production datasets in SQL/Hive OR building internal/production data tools for ETL, experimentation, or exploration in a scripting language (Python, R, etc.)
A solid grasp of basic statistical applications and methods (experimentation, probabilities, regression)
Experience in software engineering, data engineering, consulting, or academic research a plus
To apply to this job, click Apply Now", San Francisco, CA
TrueAccord ,$131k-$182k(Glassdoor Est.),3.9,"Slack is looking for experienced analysts to join our Analytics team and help drive the understanding, growth, and success of Slack. We have several roles open across different levels of seniority. You should have deep technical skills and be comfortable working in an evolving data infrastructure to help us make data-informed decisions. You will be scrappy, independent, and excited about having a big impact in a growing team.

You will partner closely with Sales, Marketing, and Product to provide visibility into our data, craft narratives, find insights, and provide recommendations. Analytics works closely with a group of cross-functional teams, such as Data Engineering & IT, to transform massive amounts of data into data products and insights that allow the rest of the company to make better decisions, faster.

Responsibilities:
Use data to inform and influence the direction of team roadmaps and inform business decisions
Work with partner teams to define goals and identify metrics for improving existing features and new releases
Deepen our understanding of patterns/trends in user behavior, design experiments, and uncover new opportunities
Build dashboards and reports to drive awareness and understanding of metrics and experiment results
Work closely with Data Engineering and IT to author and develop core data sets that empower operational and exploratory analyses
Requirements:
3-8+ years of professional industry experience doing quantitative analysis
A proven track record of using analysis to impact key business or product decisions
The ability to clearly and effectively communicate the results of complex analyses
Experience writing production datasets in SQL/Hive OR building internal/production data tools for ETL, experimentation, or exploration in a scripting language (Python, R, etc.)
A solid grasp of basic statistical applications and methods (experimentation, probabilities, regression)
Experience in software engineering, data engineering, consulting, or academic research a plus
To apply to this job, click Apply Now", San Francisco, CA
Ebates ,$118k-$166k(Glassdoor Est.),4.0,"Slack is looking for experienced analysts to join our Analytics team and help drive the understanding, growth, and success of Slack. We have several roles open across different levels of seniority. You should have deep technical skills and be comfortable working in an evolving data infrastructure to help us make data-informed decisions. You will be scrappy, independent, and excited about having a big impact in a growing team.

You will partner closely with Sales, Marketing, and Product to provide visibility into our data, craft narratives, find insights, and provide recommendations. Analytics works closely with a group of cross-functional teams, such as Data Engineering & IT, to transform massive amounts of data into data products and insights that allow the rest of the company to make better decisions, faster.

Responsibilities:
Use data to inform and influence the direction of team roadmaps and inform business decisions
Work with partner teams to define goals and identify metrics for improving existing features and new releases
Deepen our understanding of patterns/trends in user behavior, design experiments, and uncover new opportunities
Build dashboards and reports to drive awareness and understanding of metrics and experiment results
Work closely with Data Engineering and IT to author and develop core data sets that empower operational and exploratory analyses
Requirements:
3-8+ years of professional industry experience doing quantitative analysis
A proven track record of using analysis to impact key business or product decisions
The ability to clearly and effectively communicate the results of complex analyses
Experience writing production datasets in SQL/Hive OR building internal/production data tools for ETL, experimentation, or exploration in a scripting language (Python, R, etc.)
A solid grasp of basic statistical applications and methods (experimentation, probabilities, regression)
Experience in software engineering, data engineering, consulting, or academic research a plus
To apply to this job, click Apply Now", San Mateo, CA
BOLD ,$145k-$201k(Glassdoor Est.),3.5,"Slack is looking for experienced analysts to join our Analytics team and help drive the understanding, growth, and success of Slack. We have several roles open across different levels of seniority. You should have deep technical skills and be comfortable working in an evolving data infrastructure to help us make data-informed decisions. You will be scrappy, independent, and excited about having a big impact in a growing team.

You will partner closely with Sales, Marketing, and Product to provide visibility into our data, craft narratives, find insights, and provide recommendations. Analytics works closely with a group of cross-functional teams, such as Data Engineering & IT, to transform massive amounts of data into data products and insights that allow the rest of the company to make better decisions, faster.

Responsibilities:
Use data to inform and influence the direction of team roadmaps and inform business decisions
Work with partner teams to define goals and identify metrics for improving existing features and new releases
Deepen our understanding of patterns/trends in user behavior, design experiments, and uncover new opportunities
Build dashboards and reports to drive awareness and understanding of metrics and experiment results
Work closely with Data Engineering and IT to author and develop core data sets that empower operational and exploratory analyses
Requirements:
3-8+ years of professional industry experience doing quantitative analysis
A proven track record of using analysis to impact key business or product decisions
The ability to clearly and effectively communicate the results of complex analyses
Experience writing production datasets in SQL/Hive OR building internal/production data tools for ETL, experimentation, or exploration in a scripting language (Python, R, etc.)
A solid grasp of basic statistical applications and methods (experimentation, probabilities, regression)
Experience in software engineering, data engineering, consulting, or academic research a plus
To apply to this job, click Apply Now", San Francisco, CA
HotelTonight ,$144k-$200k(Glassdoor Est.),4.3,"Slack is looking for experienced analysts to join our Analytics team and help drive the understanding, growth, and success of Slack. We have several roles open across different levels of seniority. You should have deep technical skills and be comfortable working in an evolving data infrastructure to help us make data-informed decisions. You will be scrappy, independent, and excited about having a big impact in a growing team.

You will partner closely with Sales, Marketing, and Product to provide visibility into our data, craft narratives, find insights, and provide recommendations. Analytics works closely with a group of cross-functional teams, such as Data Engineering & IT, to transform massive amounts of data into data products and insights that allow the rest of the company to make better decisions, faster.

Responsibilities:
Use data to inform and influence the direction of team roadmaps and inform business decisions
Work with partner teams to define goals and identify metrics for improving existing features and new releases
Deepen our understanding of patterns/trends in user behavior, design experiments, and uncover new opportunities
Build dashboards and reports to drive awareness and understanding of metrics and experiment results
Work closely with Data Engineering and IT to author and develop core data sets that empower operational and exploratory analyses
Requirements:
3-8+ years of professional industry experience doing quantitative analysis
A proven track record of using analysis to impact key business or product decisions
The ability to clearly and effectively communicate the results of complex analyses
Experience writing production datasets in SQL/Hive OR building internal/production data tools for ETL, experimentation, or exploration in a scripting language (Python, R, etc.)
A solid grasp of basic statistical applications and methods (experimentation, probabilities, regression)
Experience in software engineering, data engineering, consulting, or academic research a plus
To apply to this job, click Apply Now", San Francisco, CA
First Republic Bank ,$135k-$189k(Glassdoor Est.),3.7,"Slack is looking for experienced analysts to join our Analytics team and help drive the understanding, growth, and success of Slack. We have several roles open across different levels of seniority. You should have deep technical skills and be comfortable working in an evolving data infrastructure to help us make data-informed decisions. You will be scrappy, independent, and excited about having a big impact in a growing team.

You will partner closely with Sales, Marketing, and Product to provide visibility into our data, craft narratives, find insights, and provide recommendations. Analytics works closely with a group of cross-functional teams, such as Data Engineering & IT, to transform massive amounts of data into data products and insights that allow the rest of the company to make better decisions, faster.

Responsibilities:
Use data to inform and influence the direction of team roadmaps and inform business decisions
Work with partner teams to define goals and identify metrics for improving existing features and new releases
Deepen our understanding of patterns/trends in user behavior, design experiments, and uncover new opportunities
Build dashboards and reports to drive awareness and understanding of metrics and experiment results
Work closely with Data Engineering and IT to author and develop core data sets that empower operational and exploratory analyses
Requirements:
3-8+ years of professional industry experience doing quantitative analysis
A proven track record of using analysis to impact key business or product decisions
The ability to clearly and effectively communicate the results of complex analyses
Experience writing production datasets in SQL/Hive OR building internal/production data tools for ETL, experimentation, or exploration in a scripting language (Python, R, etc.)
A solid grasp of basic statistical applications and methods (experimentation, probabilities, regression)
Experience in software engineering, data engineering, consulting, or academic research a plus
To apply to this job, click Apply Now", San Francisco, CA
